connection,from,from_role,to,to_role
has,NotificationGroupKeys,Information Holder,Account,Information Holder
has,NotificationHolder,Information Holder,NotificationContent,Information Holder
has,NotificationIds,Information Holder,Account,Information Holder
has,RemoveNotificationResult,Information Holder,NotificationHolder,Information Holder
has,StatusCodeDetail,Information Holder,StatusCodeSubject,Information Holder
has,StoreConfig,Information Holder,NetworkType,Information Holder
has,TextBody,Information Holder,CountingOutputStream,Information Holder
has,WebDavStore,Information Holder,ConnectionInfo,Information Holder
has,WebDavStore,Information Holder,ConnectionSecurity,Information Holder
has,WebDavStore,Information Holder,HttpGeneric,Information Holder
has,WebDavStore,Information Holder,ServerSettings,Information Holder
has,WebDavStore,Information Holder,StoreConfig,Information Holder
has,WebDavStore,Information Holder,WebDavStoreSettings,Information Holder
has,WebDavStoreSettings,Information Holder,AuthType,Information Holder
has,WebDavStoreSettings,Information Holder,ConnectionSecurity,Information Holder
